SENTTOT,SENTTOT0,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,DOBMON,EDUCATN,ENCRYPT2,HISPORIG,INOUT,NEWRACE,OFFTYPSB,SENTIMP,SENTMON,DOBYR,SENTYR
15,15,2,41,0,55,11,16,0,1,,1,32,1,10,1958,2016
180,180,1,211,1,49,11,21,0,1,,2,10,1,10,1979,2016
96,96,1,211,1,39,9,21,0,1,,1,10,1,10,1986,2016
20,20,1,211,0,70,9,12,0,2,,3,10,1,10,1992,2016
16,16,3,49,1,70,4,1,0,2,,3,27,1,10,1958,2016
168,168,1,211,1,39,6,34,0,1,,1,10,1,10,1981,2016
12,12,3,49,1,70,6,8,0,2,,3,27,1,10,1965,2016
27,27,3,49,1,70,7,6,0,2,,3,27,1,10,1982,2016
63,63,1,211,1,83,5,21,0,1,,2,13,1,10,1986,2016
,0,1,211,1,73,11,12,0,2,,3,10,4,10,1969,2016
72,72,1,211,1,73,2,12,0,1,,2,24,1,10,1960,2016
5.49,5.49,1,211,1,70,7,12,0,1,,6,10,1,10,1983,2016
,0,1,211,1,30,3,12,0,2,1,3,18,4,10,1995,2016
10,10,3,32,1,30,3,0,0,2,,3,27,1,10,1968,2016
120,120,1,211,1,73,5,11,0,2,,3,10,1,10,1983,2016
15,15,3,49,1,41,1,10,0,2,,3,27,1,10,1989,2016
18,18,1,211,1,83,9,12,0,1,,1,30,1,10,1971,2016
19.59,19.59,1,211,1,83,10,24,0,1,0,1,10,1,10,1955,2016
4,4,3,49,1,70,2,3,0,2,0,3,27,1,10,1974,2016
24,24,1,211,1,66,4,12,0,1,,1,18,1,10,1994,2016
51,51,1,211,1,66,8,10,0,1,,2,13,1,10,1984,2016
5.88,5.88,3,49,1,42,2,9,0,2,,3,27,1,10,1987,2016
,,1,211,1,22,6,,0,0,1,,35,0,10,1991,2016
137,137,1,211,1,39,5,12,0,1,,2,6,1,10,1988,2016
12.03,12.03,1,211,1,55,5,12,0,1,,2,18,1,10,1993,2016
51,51,1,211,1,66,9,34,0,0,,2,13,1,10,1983,2016
6,6,3,49,1,42,7,,0,2,0,3,27,1,10,1988,2016
24,24,1,211,1,12,6,37,0,1,,1,17,1,10,1958,2016
7,7,1,211,1,22,10,24,0,1,0,2,18,1,10,1970,2016
4.49,4.49,3,49,1,70,3,9,0,2,0,3,27,1,10,1980,2016
36,36,1,211,1,66,9,8,0,2,,3,13,1,10,1985,2016
,0,1,211,1,34,12,,0,0,1,,12,3,10,1991,2016
,0,1,211,1,72,3,34,0,1,,2,10,4,10,1980,2016
120,120,3,37,0,78,10,0,0,2,,3,10,1,10,1985,2016
4,4,3,37,1,70,7,2,0,2,0,3,27,1,10,1973,2016
18,18,3,49,1,70,1,11,0,2,,3,27,1,10,1960,2016
,0,1,211,1,39,4,34,0,1,1,1,18,4,10,1963,2016
96,96,1,211,1,22,10,34,0,1,,2,23,1,10,1971,2016
57,57,1,211,1,73,12,9,0,0,,1,13,1,10,1991,2016
6,6,1,211,1,39,2,12,0,1,0,1,35,1,10,1992,2016
,0,1,211,0,72,8,12,0,2,,3,10,4,10,1995,2016
3.82,3.82,3,49,1,70,7,6,0,2,0,3,27,1,10,1969,2016
13.03,13.03,3,40,1,70,2,2,0,2,,3,27,1,10,1993,2016
6,6,1,211,1,15,1,34,0,1,,1,23,2,10,1966,2016
18,18,1,211,1,76,3,11,0,2,,3,23,1,10,1991,2016
,0,1,211,0,9,1,11,0,1,,1,10,2,10,1987,2016
180,180,1,211,0,73,12,34,0,0,,1,18,1,10,1960,2016
2.2,2.2,3,40,1,42,9,,0,2,0,3,27,1,10,1985,2016
63,63,1,211,1,39,4,21,0,1,,2,13,1,10,1965,2016
41,41,1,211,1,70,12,21,0,1,,6,13,1,10,1979,2016
,0,1,211,1,88,12,9,0,2,,3,10,4,10,1992,2016
36,36,1,211,1,88,8,11,0,1,,1,10,1,10,1973,2016
,0,1,211,1,70,5,23,0,2,,3,32,3,10,1991,2016
57,57,1,211,1,88,7,9,0,2,,3,10,1,10,1970,2016
48,48,1,211,0,70,7,21,0,1,,1,28,1,10,1972,2016
33,33,3,49,1,70,11,9,0,2,,3,10,1,10,1987,2016
60,60,1,211,1,84,10,9,0,2,,3,10,1,10,1987,2016
9,9,3,49,1,70,8,11,0,2,,3,27,1,10,1984,2016
37,37,3,49,1,70,1,8,0,2,,3,27,1,10,1982,2016
46,46,1,211,1,62,8,12,0,1,,2,13,1,10,1993,2016
18,18,1,211,1,88,9,23,0,1,,1,10,1,10,1992,2016
8,8,3,49,1,84,11,10,0,2,,3,27,1,10,1980,2016
9,9,3,40,1,70,8,6,0,2,,3,27,1,10,1983,2016
,0,1,211,1,70,4,34,0,2,,3,13,4,10,1989,2016
30,30,1,211,1,88,12,21,0,1,,6,13,1,10,1993,2016
57,57,1,211,0,88,9,11,0,1,,1,10,1,10,1996,2016
18,18,1,211,1,30,11,12,0,1,,1,30,1,10,1982,2016
12.03,12.03,4,40,1,70,1,6,0,2,,3,10,1,10,1992,2016
2.07,2.07,3,40,1,31,9,,0,2,0,3,27,1,10,1979,2016
,0,1,211,1,22,4,,0,1,1,1,12,4,10,1982,2016
120,120,1,211,1,69,5,11,0,1,,6,10,1,10,1987,2016
0.66,0.66,3,49,1,84,12,6,0,2,0,3,27,1,10,1985,2016
90,90,1,211,1,45,4,34,0,1,,2,6,1,10,1986,2016
1.13,1.13,3,37,1,84,10,0,0,2,0,3,27,1,10,1983,2016
1.36,1.36,3,49,1,84,6,8,0,2,0,3,27,1,10,1994,2016
1.16,1.16,3,49,1,84,11,8,0,2,0,3,27,1,10,1989,2016
20,20,1,211,1,20,6,21,0,1,,2,13,1,10,1990,2016
82,82,1,211,1,78,6,21,0,1,,1,13,1,10,1978,2016
27,27,1,211,1,62,8,11,0,1,,2,13,1,10,1985,2016
2.1,2.1,3,49,1,84,6,6,0,2,0,3,27,1,10,1995,2016
128,128,1,211,1,77,1,21,0,1,,6,13,1,10,1976,2016
96,96,1,211,1,29,7,10,0,1,,2,13,1,10,1990,2016
10,10,1,211,0,13,10,12,0,1,,6,18,1,10,1992,2016
36,36,1,211,1,0,1,11,0,1,,1,6,1,10,1982,2016
,0,1,211,1,30,4,10,0,1,1,1,34,4,10,1959,2016
,0,1,211,1,2,4,21,0,1,1,1,18,4,10,1972,2016
6,6,1,211,1,65,6,12,0,1,,1,13,1,10,1982,2016
15,15,2,49,1,70,5,9,0,2,,3,27,1,10,1984,2016
75,75,1,211,1,65,8,34,0,1,,1,10,1,10,1973,2016
18,18,1,211,0,30,3,16,0,1,,1,19,1,10,1960,2016
54,54,2,49,1,68,9,6,0,2,,3,10,1,10,1986,2016
70,70,3,49,1,67,2,9,0,2,,3,10,1,10,1980,2016
4.82,4.82,3,49,0,42,4,34,0,2,0,3,10,1,10,1989,2016
6.76,6.76,1,211,1,69,8,11,0,1,,6,30,1,10,1976,2016
46,46,1,211,1,70,8,7,0,1,,6,5,1,10,1991,2016
293,293,1,211,1,69,4,21,0,1,,6,4,1,10,1966,2016
24,24,1,211,1,83,5,21,0,1,,2,13,1,10,1978,2016
9,9,3,49,0,42,7,34,0,2,0,3,10,1,10,1996,2016
6,6,3,37,1,42,6,6,0,2,0,3,27,1,10,1989,2016
,0,1,211,0,49,10,12,0,1,,1,30,4,10,1971,2016
