SENTTOT,SENTTOT0,CITIZEN,CITWHERE,CRIMHIST,DISTRICT,DOBMON,EDUCATN,ENCRYPT2,HISPORIG,INOUT,NEWRACE,OFFTYPSB,SENTIMP,SENTMON,DOBYR,SENTYR
324,324,1,211,1,83,11,12,0,1,,1,10,1,11,1980,2016
2.39,2.39,3,49,1,14,10,,0,2,0,3,27,1,11,1988,2016
8,8,3,32,1,41,11,9,0,2,,3,27,1,11,1980,2016
15,15,3,40,1,82,7,7,0,2,,3,27,1,11,1991,2016
240,240,1,211,1,39,6,21,0,1,,1,10,1,11,1978,2016
,0,1,211,1,48,3,12,0,1,,1,30,4,11,1984,2016
51,51,1,211,1,42,9,12,0,1,,2,16,1,11,1977,2016
42,42,1,211,1,22,8,9,0,1,,2,10,1,11,1957,2016
12.1,12.1,3,49,0,56,12,2,0,2,,3,23,1,11,1970,2016
12.03,12.03,3,40,1,23,5,6,0,2,0,3,27,1,11,1976,2016
600,600,1,211,1,42,11,21,0,0,,1,28,1,11,1977,2016
60,60,1,211,1,41,10,21,0,2,,3,10,1,11,1974,2016
,0,1,211,0,42,8,12,0,1,1,2,19,4,11,1978,2016
4.26,4.26,3,49,1,82,3,12,0,2,0,3,27,1,11,1992,2016
16,16,3,49,1,70,12,9,0,2,,3,27,1,11,1988,2016
12.03,12.03,1,211,1,42,10,9,0,1,,1,11,1,11,1986,2016
30,30,1,211,1,65,12,12,0,1,,2,18,1,11,1992,2016
12.03,12.03,1,211,1,13,1,21,0,2,,3,10,1,11,1977,2016
60,60,1,211,1,53,11,32,0,1,,2,10,1,11,1992,2016
,0,1,211,1,64,1,12,0,2,0,3,10,1,11,1974,2016
,0,1,211,,17,1,,0,1,,6,12,1,11,1966,2016
24,24,3,49,1,42,6,5,0,2,,3,27,1,11,1978,2016
15,15,3,49,1,42,2,11,0,2,,3,27,1,11,1990,2016
42,42,1,211,1,42,6,34,0,1,,2,18,1,11,1982,2016
175,175,1,211,1,42,10,21,0,2,,3,13,1,11,1975,2016
360,360,1,211,1,42,10,10,0,1,,1,24,1,11,1973,2016
61,61,1,211,1,22,11,34,0,1,,2,18,1,11,1984,2016
48,48,1,211,1,16,7,21,0,1,,2,10,1,11,1973,2016
15,15,3,30,1,31,1,4,0,2,,3,27,1,11,1975,2016
48,48,1,211,1,16,12,11,0,1,,1,10,1,11,1985,2016
12,12,3,37,1,16,12,31,0,2,0,3,27,1,11,1979,2016
210,210,1,211,1,46,5,12,0,1,,1,28,1,11,1961,2016
,0,1,211,0,42,5,12,0,1,1,2,18,4,11,1995,2016
66,66,1,211,0,23,3,12,0,1,,2,24,1,11,1994,2016
30,30,1,211,1,23,6,1,0,1,,1,18,1,11,1974,2016
60,60,1,211,1,38,6,12,0,1,,2,13,1,11,1991,2016
57,57,1,211,1,12,6,21,0,2,,3,10,1,11,1979,2016
21,21,3,20,1,70,1,6,0,2,,3,27,1,11,1958,2016
4.83,4.83,3,37,1,42,9,9,0,2,0,3,27,1,11,1988,2016
,0,1,211,,74,5,,0,2,,3,10,1,11,1997,2016
,0,1,211,,74,2,,0,2,0,3,27,1,11,1991,2016
30,30,1,211,1,42,1,34,0,2,,3,6,1,11,1988,2016
70,70,1,211,1,8,10,34,0,1,,2,18,1,11,1982,2016
21,21,3,49,1,42,4,6,0,2,,3,27,1,11,1955,2016
12.85,12.85,1,211,1,56,10,10,0,1,0,1,30,1,11,1972,2016
6,6,3,49,1,48,11,12,0,2,0,3,27,1,11,1977,2016
13,13,3,49,1,41,1,6,0,2,0,3,27,1,11,1977,2016
6,6,1,211,1,42,6,34,0,2,0,3,10,1,11,1991,2016
36,36,1,211,1,48,2,8,0,1,,1,13,1,11,1992,2016
18,18,1,211,1,38,7,9,0,1,,1,18,1,11,1978,2016
4.33,4.33,1,211,1,74,9,21,0,2,0,3,29,1,11,1976,2016
37,37,1,211,1,48,11,11,0,2,,3,10,1,11,1988,2016
64,64,3,49,1,39,10,21,0,2,,3,27,1,11,1956,2016
18,18,3,49,1,39,6,4,0,2,,3,27,1,11,1978,2016
15,15,3,49,1,39,4,9,0,2,,3,27,1,11,1981,2016
21,21,3,49,1,48,2,37,0,2,,3,27,1,11,1986,2016
5,5,3,49,1,42,3,5,0,2,,3,27,1,11,1971,2016
63,63,1,211,1,42,9,21,0,1,,1,13,1,11,1974,2016
26,26,3,32,1,39,2,4,0,2,,3,27,1,11,1981,2016
15,15,3,49,1,70,5,5,0,2,,3,27,1,11,1990,2016
66,66,1,211,0,34,10,24,0,1,,1,18,1,11,1958,2016
14,14,3,37,1,12,12,32,0,2,0,3,27,1,11,1990,2016
70,70,2,49,0,42,1,34,0,2,,3,10,1,11,1985,2016
151,151,5,28,0,30,4,2,0,2,,3,10,1,11,1960,2016
72,72,1,211,1,90,8,12,0,1,,2,10,1,11,1970,2016
18,18,3,49,1,42,6,34,0,2,,3,10,1,11,1984,2016
15,15,3,37,1,31,3,,0,2,,3,27,1,11,1976,2016
27,27,3,49,1,53,12,6,0,2,,3,27,1,11,1974,2016
130,130,1,211,1,41,8,6,0,2,,3,10,1,11,1964,2016
37,37,3,49,1,22,10,10,0,2,,3,10,1,11,1977,2016
24,24,3,49,1,42,2,8,0,2,,3,27,1,11,1977,2016
,0,1,211,1,78,8,11,0,1,,2,13,1,11,1994,2016
10,10,3,49,1,78,5,34,0,2,0,3,27,1,11,1969,2016
,0,1,211,,16,7,,0,1,,2,35,4,11,1969,2016
24,24,1,211,0,31,4,24,0,2,,3,18,1,11,1969,2016
27,27,1,211,1,48,2,10,0,1,,1,13,1,11,1995,2016
300,300,1,211,1,48,10,24,0,1,,6,28,1,11,1980,2016
21,21,1,211,1,45,3,21,0,1,,2,10,1,11,1947,2016
,0,1,211,0,74,3,34,0,2,,3,35,4,11,1994,2016
1.56,1.56,3,49,1,84,5,31,0,2,0,3,27,1,11,1996,2016
0.92,0.92,3,49,1,84,8,6,0,2,0,3,27,1,11,1991,2016
1.2,1.2,3,49,1,84,10,4,0,2,0,3,27,1,11,1992,2016
1.18,1.18,3,49,1,84,6,9,0,2,0,3,27,1,11,1994,2016
1.03,1.03,3,37,1,84,8,6,0,2,0,3,27,1,11,1973,2016
40,40,1,211,1,52,9,12,0,1,,1,32,1,11,1995,2016
54,54,1,211,1,49,11,21,0,1,,2,10,1,11,1979,2016
2,2,3,49,1,84,9,9,0,0,0,1,27,1,11,1991,2016
2,2,1,211,1,51,3,16,0,1,0,2,17,2,11,1981,2016
1.18,1.18,3,49,1,84,6,6,0,2,0,3,27,1,11,1983,2016
210,210,2,78,1,62,1,21,0,1,,6,10,1,11,1981,2016
15,15,1,211,1,51,10,32,0,1,,2,13,1,11,1984,2016
,0,1,211,1,69,1,12,0,2,,3,10,1,11,1980,2016
78,78,1,211,1,67,6,21,0,1,,1,10,1,11,1979,2016
4,4,3,32,1,84,4,0,0,2,0,3,27,1,11,1968,2016
5,5,1,211,0,13,10,11,0,1,,6,13,2,11,1991,2016
120,120,3,49,1,67,9,10,0,2,,3,10,1,11,1974,2016
90,90,1,211,1,84,11,34,0,1,,2,10,1,11,1988,2016
46,46,1,211,1,67,7,10,0,1,,1,10,1,11,1977,2016
60,60,1,211,1,49,1,22,0,1,,2,10,1,11,1986,2016
60,60,1,211,1,67,1,21,0,1,,1,10,1,11,1991,2016
2.07,2.07,3,37,1,69,3,6,0,2,0,3,27,1,11,1984,2016
4,4,3,49,1,84,9,10,0,2,0,3,27,1,11,1989,2016
2,2,3,49,1,84,10,6,0,2,0,3,27,1,11,1966,2016
24,24,1,211,1,47,7,12,0,1,,2,10,1,11,1984,2016
95,95,1,211,1,77,8,34,0,1,,1,10,1,11,1962,2016
6.13,6.13,3,49,1,67,5,32,0,2,,3,27,1,11,1976,2016
,0,3,49,1,42,5,6,0,2,0,3,27,1,11,1984,2016
4,4,3,49,1,42,3,9,0,2,0,3,27,1,11,1980,2016
6,6,3,49,1,42,8,12,0,2,0,3,27,1,11,1984,2016
4.83,4.83,3,49,0,84,11,12,0,2,0,3,10,1,11,1996,2016
80,80,1,211,1,77,9,11,0,1,,6,10,1,11,1991,2016
5,5,3,32,1,70,3,12,0,2,0,3,27,1,11,1980,2016
60,60,1,211,1,42,8,12,0,2,,3,10,1,11,1985,2016
4.24,4.24,3,49,0,84,2,8,0,2,0,3,10,1,11,1992,2016
,0,1,211,1,70,2,34,0,1,,6,35,3,11,1990,2016
30,30,1,211,1,23,11,34,0,1,,1,10,1,11,1962,2016
3.06,3.06,3,49,1,42,8,5,0,2,0,3,27,1,11,1981,2016
1.38,1.38,3,49,1,84,12,9,0,2,0,3,27,1,11,1988,2016
46,46,1,211,1,25,9,21,0,1,,1,13,2,11,1984,2016
22,22,,,1,24,1,,0,0,,,5,1,11,1990,2016
4.36,4.36,3,49,1,70,12,3,0,2,0,3,27,1,11,1976,2016
12,12,3,49,1,73,3,,0,2,,3,27,1,11,1965,2016
18,18,1,211,1,70,6,24,0,1,,1,10,1,11,1966,2016
18,18,1,211,1,46,9,12,0,1,,1,30,1,11,1972,2016
1.13,1.13,3,49,1,84,12,8,0,2,0,3,27,1,11,1989,2016
36,36,1,211,1,73,1,21,0,1,,1,35,1,11,1988,2016
0.03,0.03,1,211,0,73,11,,0,1,,6,23,1,11,1960,2016
57,57,3,49,1,67,4,6,0,2,,3,10,1,11,1989,2016
87,87,1,211,1,73,6,34,0,1,,1,6,2,11,1980,2016
27,27,1,211,0,73,12,23,0,1,,1,18,1,11,1958,2016
60,60,1,211,1,83,1,12,0,1,,1,10,1,11,1971,2016
46,46,1,211,1,69,12,9,0,1,,2,5,1,11,1989,2016
92,92,1,211,1,49,7,21,0,1,,1,13,1,11,1978,2016
,0,3,49,,42,7,,0,2,,3,27,1,11,1995,2016
60,60,1,211,1,23,10,34,0,1,,1,10,1,11,1964,2016
232,232,1,211,1,31,4,33,0,1,,2,13,1,11,1986,2016
15,15,3,30,1,41,11,12,0,2,,3,27,1,11,1970,2016
20,20,3,40,1,53,5,9,0,2,,3,27,1,11,1984,2016
58,58,1,211,1,37,5,12,0,1,,1,10,1,11,1948,2016
60,60,1,211,1,67,9,34,0,1,,1,10,1,11,1964,2016
12,12,3,49,1,78,2,8,0,2,,3,27,1,11,1980,2016
0.03,0.03,1,211,0,73,9,16,0,1,,6,23,1,11,1957,2016
100,100,1,211,1,49,9,9,0,1,,1,13,1,11,1958,2016
,0,1,211,1,73,12,7,0,1,1,1,27,4,11,1970,2016
8.46,8.46,3,45,1,31,1,22,0,1,0,2,27,2,11,1974,2016
12,12,3,40,1,48,7,3,0,2,0,3,27,1,11,1991,2016
18,18,1,211,1,71,1,12,0,1,,6,13,2,11,1991,2016
13.03,13.03,2,49,0,70,4,9,0,2,,3,10,1,11,1985,2016
16,16,1,211,1,36,6,12,0,1,,1,13,1,11,1982,2016
1.03,1.03,3,37,1,84,6,6,0,2,0,3,27,1,11,1984,2016
34,34,3,49,1,41,12,6,0,2,,3,27,1,11,1982,2016
72,72,1,211,1,30,8,10,0,1,,2,13,1,11,1988,2016
38,38,1,211,0,31,6,34,0,1,,2,21,2,11,1964,2016
48,48,1,211,0,22,8,21,0,1,,1,35,1,11,1983,2016
,0,1,211,,33,1,,0,1,,2,35,4,11,1986,2016
84,84,1,211,1,30,1,9,0,1,,2,13,1,11,1988,2016
,0,1,211,,33,12,,0,1,,2,12,4,11,1975,2016
12,12,1,211,1,22,5,12,0,1,0,2,10,1,11,1978,2016
,0,3,30,1,4,7,,0,2,0,3,27,1,11,1965,2016
24,24,1,211,0,30,10,11,0,2,,3,28,1,11,1993,2016
30,30,1,211,0,30,7,8,0,1,,1,28,1,11,1976,2016
60,60,1,211,1,16,6,32,0,1,,2,10,1,11,1984,2016
,0,1,211,0,78,10,12,0,1,,1,18,4,11,1962,2016
,0,3,49,1,10,10,,0,2,0,3,27,1,11,1977,2016
151,151,1,211,1,89,3,9,0,1,,1,10,1,11,1983,2016
5.69,5.69,3,49,1,33,3,,0,2,0,3,27,1,11,1987,2016
3.42,3.42,3,37,1,30,3,2,0,2,0,3,27,1,11,1986,2016
,0,1,211,1,37,11,24,0,1,,2,23,3,11,1986,2016
12.03,12.03,1,211,1,89,8,22,0,2,,3,13,1,11,1970,2016
12.03,12.03,1,211,1,89,2,32,0,1,,1,13,1,11,1985,2016
6,6,3,49,,70,12,,,2,0,3,12,1,10,1987,2016
6,6,3,49,,70,2,,0,2,0,3,12,1,10,1984,2016
6,6,3,49,,70,1,,0,2,0,3,12,1,10,1986,2016
86,86,1,211,1,49,3,10,0,1,,2,10,1,11,1987,2016
87,87,1,211,1,42,2,10,0,2,,3,10,1,10,1988,2016
6,6,3,49,,70,8,,0,2,0,3,12,1,10,1991,2016
60,60,1,211,1,8,7,10,0,2,,3,10,1,10,1989,2016
,0,3,49,1,42,1,9,0,2,0,3,27,1,11,1984,2016
74,74,3,37,0,8,9,12,0,2,,3,10,1,10,1984,2016
12.03,12.03,1,211,1,8,1,32,0,2,,3,10,1,10,1996,2016
87,87,3,49,1,8,3,10,0,2,,3,10,1,10,1986,2016
24,24,1,211,0,1,6,34,0,1,,6,18,1,10,1968,2016
7.33,7.33,3,30,1,8,7,7,0,2,,3,27,1,10,1953,2016
6.26,6.26,3,49,1,70,3,31,0,2,0,3,27,1,11,1986,2016
15,15,1,211,1,8,1,11,0,2,,3,10,1,10,1980,2016
48,48,1,211,1,8,6,21,0,1,,2,10,1,10,1987,2016
,0,3,52,0,8,1,16,0,1,,6,35,1,10,1965,2016
60,60,1,211,0,47,7,21,0,1,,1,28,1,10,1988,2016
18,18,1,211,1,8,4,12,0,1,,2,18,1,10,1978,2016
120,120,1,211,1,36,8,21,0,1,,1,10,1,10,1978,2016
,0,1,211,1,8,12,34,0,1,,1,10,2,10,1979,2016
37,37,1,211,1,51,2,34,0,1,,2,13,1,11,1987,2016
,0,1,211,1,7,4,24,0,1,,1,18,3,10,1947,2016
54,54,1,211,0,8,1,5,0,2,,3,18,1,10,1975,2016
48,48,1,211,1,47,12,21,0,1,,2,13,1,10,1983,2016
120,120,3,30,1,8,10,8,0,2,,3,10,1,10,1972,2016
26.49,26.49,3,30,1,8,2,12,0,2,,3,10,1,10,1958,2016
30,30,3,30,1,8,5,21,0,2,,3,10,1,10,1974,2016
120,120,1,211,0,8,7,34,0,1,,1,18,1,10,1962,2016
37.39,37.39,3,37,1,8,10,12,0,2,,3,10,1,10,1982,2016
12.03,12.03,1,211,1,8,12,34,0,1,,1,18,1,10,1961,2016
84,84,1,211,1,8,8,32,0,1,,2,13,1,10,1986,2016
,0,1,211,1,47,11,32,0,1,,2,18,1,10,1964,2016
,0,1,211,0,8,12,24,0,1,,2,27,2,10,1966,2016
30,30,1,211,1,8,8,8,0,2,,3,13,1,10,1976,2016
38.22,38.22,1,211,1,8,1,12,0,1,,1,13,1,10,1993,2016
24,24,1,211,1,8,9,21,0,2,,3,10,1,10,1972,2016
24,24,1,211,0,8,5,34,0,1,,1,18,1,10,1975,2016
,0,1,211,0,8,5,23,0,1,1,2,18,4,11,1985,2016
12,12,1,211,1,52,10,12,0,1,,1,22,1,11,1961,2016
,0,3,49,1,47,1,,0,2,0,3,27,1,10,1988,2016
,0,1,211,1,7,11,12,0,1,,1,24,1,11,1966,2016
38,38,3,30,1,8,10,21,0,2,,3,24,1,11,1959,2016
12.03,12.03,1,211,0,74,10,12,0,2,,3,10,1,11,1991,2016
100,100,1,211,1,47,2,35,0,1,,2,6,1,11,1958,2016
1.49,1.49,3,49,1,84,7,6,0,2,0,3,27,1,11,1975,2016
18.62,18.62,1,211,1,8,12,21,0,1,,2,10,1,11,1977,2016
33,33,3,49,1,74,6,11,0,2,,3,27,1,11,1966,2016
12.36,12.36,3,49,1,74,12,6,0,2,,3,27,1,11,1966,2016
8,8,3,49,1,74,5,9,0,2,,3,27,1,11,1985,2016
4,4,3,49,,74,11,,0,2,,3,27,1,11,1982,2016
12,12,3,40,1,74,9,3,0,2,,3,27,1,11,1979,2016
262,262,1,211,1,8,7,8,0,1,,2,10,1,10,1992,2016
12.03,12.03,3,49,0,74,8,32,0,2,,3,10,1,11,1994,2016
8,8,2,49,0,74,12,16,0,2,,3,27,1,11,1988,2016
75,75,2,46,1,74,3,34,0,1,,1,23,1,11,1984,2016
6,6,3,49,0,74,12,34,0,2,,3,27,1,11,1987,2016
0.76,0.76,1,211,1,74,3,12,0,1,0,2,27,2,11,1960,2016
,0,2,45,0,8,5,12,0,1,1,2,18,4,10,1965,2016
71,71,1,211,0,74,6,11,0,2,,3,10,1,11,1995,2016
60,60,1,211,1,16,1,9,0,1,,2,10,1,11,1977,2016
40,40,3,49,1,74,12,5,0,2,,3,27,1,11,1979,2016
87,87,1,211,1,66,1,12,0,0,,2,13,1,11,1994,2016
15,15,3,49,1,41,12,9,0,2,,3,27,1,11,1984,2016
20,20,3,49,1,74,5,21,0,2,,3,27,1,11,1983,2016
65,65,1,211,1,64,5,9,0,1,,2,18,1,11,1991,2016
78,78,1,211,1,12,2,9,0,2,,3,10,1,11,1975,2016
12.03,12.03,1,211,1,55,11,32,0,1,,2,13,1,11,1977,2016
7,7,3,32,1,18,2,8,0,2,0,3,27,1,11,1977,2016
,0,1,211,0,7,10,12,0,1,,2,10,4,11,1992,2016
100,100,1,211,1,66,6,12,0,0,,1,10,1,11,1974,2016
37,37,3,49,1,79,2,,0,2,,3,27,1,11,1982,2016
124,124,1,211,1,27,12,8,0,1,,2,13,1,11,1991,2016
,0,1,211,1,7,10,34,0,1,1,1,34,4,11,1976,2016
120,120,1,211,1,38,1,10,0,1,,2,24,1,11,1987,2016
48,48,1,211,1,81,8,21,0,1,,2,13,1,11,1992,2016
12.03,12.03,1,211,0,32,2,16,0,1,,6,28,1,11,1988,2016
30,30,3,32,1,41,11,5,0,2,0,3,27,1,11,1986,2016
168,168,1,211,1,8,9,32,0,1,,2,10,1,11,1979,2016
78,78,1,211,0,74,1,16,0,1,,1,28,1,11,1954,2016
60,60,2,49,1,74,5,2,0,2,,3,10,1,11,1955,2016
37,37,3,49,1,74,2,11,0,2,,3,27,1,11,1980,2016
12.03,12.03,1,211,1,55,11,12,0,1,,2,13,1,11,1980,2016
46,46,4,49,1,70,4,9,0,2,,3,10,1,11,1983,2016
8,8,3,49,0,74,10,12,0,2,,3,27,1,11,1986,2016
5.85,5.85,1,211,1,74,2,9,0,2,0,3,27,1,11,1997,2016
12.03,12.03,1,211,0,71,1,34,0,1,,1,18,1,11,1968,2016
46,46,3,30,1,8,4,9,0,2,,3,27,1,10,1970,2016
,0,3,49,1,79,9,,0,2,0,3,27,1,11,1976,2016
180,180,1,211,1,55,9,21,0,1,,2,13,1,11,1983,2016
,0,1,211,0,7,7,24,0,2,,3,10,4,11,1962,2016
12.03,12.03,1,211,0,7,5,16,0,2,,3,22,1,11,1961,2016
21,21,2,49,0,74,4,12,0,2,,3,10,1,11,1972,2016
24,24,1,211,0,74,10,12,0,2,,3,10,1,11,1992,2016
87,87,5,31,0,30,10,12,0,2,,3,10,1,11,1988,2016
46,46,1,211,0,41,6,12,0,2,,3,10,1,11,1996,2016
210,210,3,49,1,41,10,0,0,2,,3,10,1,11,1964,2016
54,54,1,211,1,63,10,12,0,2,,3,28,1,11,1983,2016
12.03,12.03,1,211,0,45,5,24,0,1,,1,10,1,11,1936,2016
0.72,0.72,3,50,1,31,12,,0,2,0,3,27,1,11,1962,2016
51,51,1,211,1,29,1,9,0,1,,2,13,1,11,1990,2016
70,70,3,49,1,41,12,9,0,2,,3,27,1,11,1977,2016
12.03,12.03,1,211,1,41,5,12,0,2,,3,27,1,11,1991,2016
42,42,,49,0,31,5,24,0,2,,3,10,1,11,1975,2016
,0,1,211,1,13,5,12,0,1,0,2,5,1,11,1979,2016
,0,1,211,1,72,6,16,0,0,0,1,22,1,11,1953,2016
,0,1,211,1,55,12,22,0,1,,1,13,3,11,1984,2016
6,6,1,211,1,41,2,34,0,1,,1,18,2,11,1959,2016
120,120,1,211,0,41,12,34,0,2,,3,10,1,11,1970,2016
65,65,1,211,0,41,2,12,0,2,,3,10,1,11,1989,2016
75,75,1,211,1,16,12,11,0,1,,2,24,1,11,1992,2016
420,420,1,211,1,64,8,34,0,1,,2,1,2,11,1994,2016
18,18,1,211,1,16,2,24,0,1,0,1,10,1,11,1987,2016
120,120,1,211,1,73,7,21,0,2,,3,13,1,11,1983,2016
84,84,1,211,1,22,11,22,0,1,,2,13,1,11,1985,2016
21,21,1,211,1,40,8,34,0,1,,1,29,1,11,1974,2016
26,26,1,211,1,53,6,8,0,1,,2,13,1,11,1993,2016
8,8,1,211,1,40,3,21,0,1,0,2,29,1,11,1971,2016
10,10,1,211,1,73,6,11,0,1,0,1,17,1,11,1994,2016
8,8,,44,0,12,6,12,0,1,,1,18,1,11,1966,2016
12.03,12.03,1,211,1,77,4,12,0,1,,1,10,1,11,1979,2016
40,40,1,211,1,12,11,34,0,1,,2,10,1,11,1987,2016
38,38,2,55,1,12,5,16,0,1,,6,10,1,11,1970,2016
130,130,1,211,1,40,10,11,0,1,,2,10,1,11,1973,2016
6,6,3,49,1,42,8,,0,2,0,3,27,1,11,1978,2016
,0,1,211,0,8,4,11,0,2,1,3,19,4,10,1962,2016
,0,1,211,1,53,2,12,0,1,,2,18,3,11,1983,2016
62,62,1,211,1,40,3,12,0,1,,1,10,1,11,1973,2016
3.55,3.55,3,49,1,84,6,10,0,2,0,3,27,1,11,1976,2016
63,63,1,211,1,40,11,21,0,1,,1,10,1,11,1967,2016
4.43,4.43,3,49,0,42,5,34,0,2,0,3,27,1,11,1993,2016
,0,1,211,0,53,9,34,0,1,1,2,18,4,11,1990,2016
4.03,4.03,3,49,1,74,5,3,0,2,,3,27,1,11,1971,2016
42,42,1,211,1,88,5,8,0,1,0,1,18,1,11,1973,2016
57,57,1,211,1,74,8,21,0,2,,3,10,1,11,1989,2016
3.98,3.98,3,107,1,9,12,16,0,1,0,1,27,1,11,1960,2016
33,33,1,211,1,69,12,22,0,1,,6,17,1,11,1980,2016
13,13,1,211,1,73,6,12,0,2,,3,18,1,11,1993,2016
120,120,1,211,1,22,2,21,0,1,,2,10,1,11,1965,2016
18,18,1,211,1,87,2,12,0,1,,2,35,1,11,1973,2016
36,36,1,211,1,87,6,21,0,1,,1,13,1,11,1979,2016
42,42,4,49,0,70,5,12,0,2,,3,10,1,11,1985,2016
235,235,1,211,1,22,11,34,0,1,,2,13,1,11,1961,2016
,0,3,49,1,74,12,,0,2,,3,27,1,11,1962,2016
33,33,4,49,0,70,7,8,0,2,,3,10,1,11,1989,2016
156,156,3,49,1,39,4,9,0,2,,3,10,1,11,1986,2016
45,45,3,49,1,39,10,6,0,2,,3,27,1,11,1977,2016
240,240,1,211,1,39,3,12,0,1,,2,13,1,11,1992,2016
10,10,3,49,1,42,7,10,0,2,,3,27,1,11,1988,2016
15,15,1,211,0,70,9,22,0,2,,3,10,1,11,1990,2016
10.25,10.25,3,45,1,70,3,9,0,1,,2,27,1,11,1959,2016
24,24,1,211,1,70,1,12,0,1,,6,4,1,11,1977,2016
,0,1,211,1,70,10,10,0,1,,1,20,3,11,1989,2016
,0,1,211,1,0,6,10,0,1,,1,18,1,11,1995,2016
180,180,1,211,1,46,6,11,0,1,,1,28,1,11,1990,2016
,0,1,211,1,40,7,21,0,1,,1,30,4,11,1964,2016
15,15,3,35,1,8,12,21,0,1,,2,20,1,10,1976,2016
24,24,1,211,1,46,8,34,0,1,,1,6,1,11,1983,2016
24,24,2,49,0,42,5,34,0,2,,3,10,1,11,1992,2016
7,7,1,211,1,52,9,34,0,1,,2,20,1,11,1990,2016
4.79,4.79,3,49,0,42,11,6,0,2,0,3,10,1,11,1989,2016
18,18,3,49,1,42,10,9,0,2,,3,27,1,11,1979,2016
63,63,2,49,0,42,4,11,0,2,,3,10,1,11,1997,2016
4.23,4.23,3,49,0,42,5,9,0,2,0,3,27,1,11,1991,2016
40,40,2,49,0,42,11,34,0,2,,3,10,1,11,1996,2016
60,60,1,211,1,22,2,34,0,1,,2,10,1,11,1980,2016
,0,1,211,1,14,1,21,0,1,1,2,18,4,11,1980,2016
72,72,1,211,1,23,12,21,0,1,,2,13,1,11,1992,2016
4.26,4.26,3,30,1,14,5,34,0,2,0,3,27,1,11,1960,2016
36,36,1,211,0,53,9,34,0,1,,1,28,1,11,1946,2016
,0,1,211,,70,6,,0,1,0,6,12,1,11,1990,2016
72,72,1,211,1,70,11,8,0,1,,6,5,1,11,1988,2016
37,37,1,211,1,70,11,9,0,2,,3,10,1,11,1976,2016
4.89,4.89,3,49,1,70,6,9,0,2,0,3,27,1,11,1983,2016
5.53,5.53,1,211,1,37,12,34,0,1,,1,29,2,11,1959,2016
48,48,1,211,1,40,12,21,0,1,,1,10,1,11,1970,2016
70,70,1,211,1,40,10,7,0,2,,3,10,1,11,1974,2016
17.36,17.36,1,211,1,69,7,12,0,1,,6,10,1,11,1982,2016
,0,1,211,1,37,4,21,0,1,,2,13,2,11,1977,2016
,0,1,211,1,73,12,12,0,1,,1,18,3,11,1959,2016
168,168,1,211,0,40,9,9,0,2,,3,35,1,11,1991,2016
24,24,1,211,0,40,12,34,0,2,,3,17,1,11,1968,2016
15,15,1,211,1,14,1,12,0,1,,2,10,1,11,1958,2016
7,7,3,49,1,70,3,8,0,2,,3,27,1,11,1973,2016
10,10,3,49,1,70,12,6,0,2,,3,27,1,11,1983,2016
42,42,1,211,1,40,9,9,0,1,,2,6,1,11,1986,2016
36,36,3,49,0,70,10,34,0,2,,3,10,1,11,1994,2016
21,21,3,49,1,70,4,3,0,2,,3,27,1,11,1961,2016
15,15,3,49,1,70,3,34,0,2,,3,27,1,11,1986,2016
48,48,1,211,0,73,3,34,0,1,,1,28,1,11,1988,2016
24,24,3,49,1,70,2,6,,2,,3,27,1,11,1973,2016
10,10,3,49,1,70,1,6,0,2,0,3,27,1,11,1991,2016
13.39,13.39,3,49,1,70,1,6,0,2,,3,27,1,11,1979,2016
12,12,3,49,1,70,3,6,0,2,,3,27,1,11,1976,2016
21,21,3,49,1,70,7,0,0,2,,3,27,1,11,1973,2016
1.85,1.85,3,68,1,31,4,,0,2,0,3,27,1,11,1982,2016
,0,1,211,0,71,7,24,0,2,1,3,18,3,11,1982,2016
13.03,13.03,3,49,1,70,8,21,0,2,,3,27,1,11,1990,2016
46,46,1,211,1,85,2,10,0,1,,2,6,2,11,1998,2016
12.03,12.03,1,211,1,77,3,10,0,1,,1,10,1,11,1961,2016
5.99,5.99,3,49,1,45,1,31,0,2,0,3,27,1,11,1972,2016
1.85,1.85,3,68,1,31,12,,0,2,0,3,27,1,11,1990,2016
15,15,1,211,0,71,5,22,0,1,,6,23,1,11,1974,2016
5.79,5.79,1,211,1,70,8,34,0,1,0,1,35,1,11,1969,2016
,0,1,211,0,8,6,34,0,1,,1,18,1,10,1961,2016
8,8,3,49,1,42,5,9,0,2,,3,27,1,11,1970,2016
60,60,1,211,0,42,11,12,0,2,,3,10,1,11,1994,2016
12.03,12.03,1,211,0,71,6,34,0,1,,6,23,1,11,1971,2016
18,18,3,49,1,70,8,9,0,2,,3,27,1,11,1981,2016
96,96,1,211,1,10,5,12,0,1,,2,10,1,11,1983,2016
4.04,4.04,3,49,1,70,12,11,0,2,0,3,27,1,11,1983,2016
60,60,1,211,1,15,2,10,0,1,,2,13,1,11,1984,2016
6,6,3,40,1,70,8,6,0,2,0,3,27,1,11,1967,2016
292,292,1,211,1,49,9,10,0,1,,2,10,1,11,1977,2016
6,6,3,49,1,70,11,9,0,2,,3,27,1,11,1988,2016
252,252,1,211,1,31,2,10,0,2,,3,10,1,11,1978,2016
12.03,12.03,1,211,1,60,2,12,0,1,,1,26,1,11,1960,2016
36,36,1,211,1,68,12,21,0,1,,1,10,1,11,1988,2016
